JURISDICTION,PLANNING PERIOD,6TH CYCLE STARTED,VLI UNITS,RHNA VLI,VLI %,LI UNITS,RHNA LI,LI %,MOD UNITS,RHNA MOD,MOD %,ABOVE MOD UNITS,RHNA ABOVE MOD,ABOVE MOD %
Solvang,2/15/2023 - 2/15/2031,TRUE,,55,,,39,,,22,,6,75,8.0%
Sonoma,1/31/2023 - 1/31/2031,TRUE,,83,,1,48,2.1%,4,50,8.0%,5,130,3.8%
Sonoma County,1/31/2023 - 1/31/2031,TRUE,,1024,,3,584,0.5%,110,627,17.5%,184,1589,11.6%
Sonora,8/31/2019 - 6/30/2024,TRUE,,25,,2,20,10.0%,4,20,20.0%,12,50,24.0%
South El Monte,10/15/2021 - 10/15/2029,TRUE,5,131,3.8%,8,64,12.5%,10,70,14.3%,24,312,7.7%
South Gate,10/15/2021 - 10/15/2029,TRUE,,2136,,,994,,,1173,,,3979,
South Lake Tahoe,5/15/2021 - 5/15/2029,TRUE,,70,,129,50,258.0%,3,42,7.1%,135,127,106.3%
South Pasadena,10/15/2021 - 10/15/2029,TRUE,,757,,,398,,,334,,58,578,10.0%
South San Francisco,1/31/2023 - 1/31/2031,TRUE,12,871,1.4%,48,502,9.6%,13,720,1.8%,14,1863,0.8%
Stanislaus County,12/31/2023 - 12/31/2031,TRUE,,574,,,398,,,458,,,1045,
Stanton,10/15/2021 - 10/15/2029,TRUE,,165,,,145,,13,231,5.6%,85,690,12.3%
Stockton,12/31/2023 - 12/31/2031,TRUE,,2465,,,1548,,,2587,,,6072,
Suisun City,1/31/2023 - 1/31/2031,TRUE,,160,,,95,,,98,,195,267,73.0%
Sunnyvale,1/31/2023 - 1/31/2031,TRUE,132,2968,4.4%,60,1709,3.5%,74,2032,3.6%,331,5257,6.3%
Susanville,8/31/2019 - 6/30/2024,TRUE,,14,,,9,,7,11,63.6%,23,24,95.8%
Sutter County,5/15/2021 - 5/15/2029,TRUE,,177,,6,107,5.6%,2,132,1.5%,52,313,16.6%
Sutter Creek,9/15/2021 - 9/15/2029,TRUE,,15,,,12,,,13,,6,34,17.6%
Taft,12/31/2023 - 12/31/2031,TRUE,,68,,,43,,,109,,,284,
Tehachapi,12/31/2023 - 12/31/2031,TRUE,,188,,,119,,,164,,,431,
Tehama,8/31/2019 - 6/30/2024,TRUE,,3,,,2,,,2,,,5,
Tehama County,8/31/2019 - 6/30/2024,TRUE,8,185,4.3%,113,157,72.0%,98,155,63.2%,44,367,12.0%
